Indicator,Unit,Monetisation method,Indicator definition
Forchlorfenuron,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Forchlorfenuron [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Formothion,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Formothion [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Fossil depletion - fdp,kg oil-eq,"A compensation cost which expresses the future loss of economic welfare due to increased extraction costs of fossil fuels in the future (Huijbregts et al., 2016). (True Price 2023)","Fossil Depletion [kg Oil-eq] Measures The Depletion Of Non-renewable Fossil Fuel Resources, Such As Oil, Coal, And Natural Gas, Used Throughout A Product’s Life Cycle. This Category Is Expressed In Kilograms Of Oil Equivalent (kg Oil-eq), Representing The Energy Content Of The Depleted Resources. Fossil Depletion Is Important To Consider In Environmental Assessments Because The Over-extraction Of These Finite Resources Contributes To Long-term Sustainability Issues.                                                                                      "
Fossil resource scarcity,kg oil eq,"A compensation cost which expresses the future loss of economic welfare due to increased extraction costs of fossil fuels in the future (Huijbregts et al., 2016). (True Price 2023)","Fossil Resource Scarcity [kg Oil-eq] Measures The Depletion Of Non-renewable Fossil Fuel Resources, Such As Oil, Coal, And Natural Gas, Used Throughout A Product’s Life Cycle. This Category Is Expressed In Kilograms Of Oil Equivalent (kg Oil-eq), Representing The Energy Content Of The Depleted Resources. Fossil Depletion Is Important To Consider In Environmental Assessments Because The Over-extraction Of These Finite Resources Contributes To Long-term Sustainability Issues.                                                                                     "
Freshwater ecotoxicity,"kg 1,4-dcb","A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost. The endpoint valuation of ecosystem damage represents the annual value of ecosystem services (ESS) of one hectare of nature, based on the median annual value per hectare of ecosystem services of six terrestrial biomes. These values are based on a published meta-analysis of the TEEB database (de Groot et al., 2012). Recipe 2016 midpoint to endpoint conversion factors for terrestrial, marine and freshwater ecotoxicity are utilised to derive the monetisation factors (Huijbregts et al., 2016). A global value for endpoint valuation is used rather than location specific values, due to the high uncertainty and the fact that the quantification of ecosystems damage from Recipe is not location specific (e.g., it is not specified where the damage occurs, only the size of the damage). (True Price 2023)","Freshwater Ecotoxicity [kg 1,4-dcb] Refers To The Potential Of Biological, Chemical Or Physical Stressors To Affect Freshwater Ecosystems. The Contamination Of Ecosystems By Toxic Chemicals From Human Activities Has Become A Global Problem, With Millions Of Tonnes Of Potentially Toxic Chemicals Entering The Environment Every Year. Many Of These Chemicals Produce Toxic Metabolites That Have Harmful Effects On Living Organisms And Are Liable To Bioaccumulate And Biomagnify. Pesticide Inputs To Soils And Adjacent Water Bodies Are The Result Of Agricultural Activities.                                                                      "
Freshwater ecotoxicity - fetpinf,"kg 1,4-dcb-eq","A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost. The endpoint valuation of ecosystem damage represents the annual value of ecosystem services (ESS) of one hectare of nature, based on the median annual value per hectare of ecosystem services of six terrestrial biomes. These values are based on a published meta-analysis of the TEEB database (de Groot et al., 2012). Recipe 2016 midpoint to endpoint conversion factors for terrestrial, marine and freshwater ecotoxicity are utilised to derive the monetisation factors (Huijbregts et al., 2016). A global value for endpoint valuation is used rather than location specific values, due to the high uncertainty and the fact that the quantification of ecosystems damage from Recipe is not location specific (e.g., it is not specified where the damage occurs, only the size of the damage). (True Price 2023)","Freshwater Ecotoxicity [kg 1,4-dcb] Refers To The Potential Of Biological, Chemical Or Physical Stressors To Affect Freshwater Ecosystems. The Contamination Of Ecosystems By Toxic Chemicals From Human Activities Has Become A Global Problem, With Millions Of Tonnes Of Potentially Toxic Chemicals Entering The Environment Every Year. Many Of These Chemicals Produce Toxic Metabolites That Have Harmful Effects On Living Organisms And Are Liable To Bioaccumulate And Biomagnify. Pesticide Inputs To Soils And Adjacent Water Bodies Are The Result Of Agricultural Activities.                                                                      "
Freshwater eutrophication,kg p eq,"A combination of restoration and compensation costs based on a literature review on the costs of eutrophication. Restoration costs express average abatement cost for bringing nutrient levels to a regulatory target, for the impacts that are reversible. Compensation costs express other damage (economic damage, damage to human health and biodiversity loss), for residual impacts after restoration has taken place. Country specific factors can be derived based on water basin-level risk of eutrophication.","Freshwater Eutropication [kg P Eq] Can Be Defined As The Enrichment Of Inland And Coastal Waters With Anthropogenically-driven Inputs Of Phosphorus. Changes In Nutrients Lead To The Proliferation Of Algae And Aquatic Weeds, Which Affect Fish Populations And Ultimately Leading To A Relative Loss Of Species. Nitrogen And Phosphorus Loads From Agriculture Are One Of The Main Factors In Eutrophication. Different Ecosystem Components Are Involved - Freshwater, Marine And Terrestrial - With The Freshwater Zone Being The Most Vulnerable Due To Intensive Exploitation.                                                                    "
Freshwater eutrophication - fep,kg p-eq,"A combination of restoration and compensation costs based on a literature review on the costs of eutrophication. Restoration costs express average abatement cost for bringing nutrient levels to a regulatory target, for the impacts that are reversible. Compensation costs express other damage (economic damage, damage to human health and biodiversity loss), for residual impacts after restoration has taken place. Country specific factors can be derived based on water basin-level risk of eutrophication.","Freshwater Eutropication [kg P Eq] Can Be Defined As The Enrichment Of Inland And Coastal Waters With Anthropogenically-driven Inputs Of Phosphorus. Changes In Nutrients Lead To The Proliferation Of Algae And Aquatic Weeds, Which Affect Fish Populations And Ultimately Leading To A Relative Loss Of Species. Nitrogen And Phosphorus Loads From Agriculture Are One Of The Main Factors In Eutrophication. Different Ecosystem Components Are Involved - Freshwater, Marine And Terrestrial - With The Freshwater Zone Being The Most Vulnerable Due To Intensive Exploitation.                                                                    "
Global warming,kg co2 eq,"A restoration cost which expresses the abatement cost for achieving the policy targets of reducing greenhouse gas emissions to meet the 2-degree target as set in the Paris Agreement, based on a meta-study of 62 marginal abatement cost estimates (Kuik et al., 2009). (True Price 2023)","Global Warming [kg Co2 Eq] Is Defined As The Long-term Warming Of The Planet’s Overall Temperature. Human-induced Global Warming Is Driven By High Emitting Activities Such As Fossil Fuels Burning, Livestock Raising, And Land-use Change. This Results In Very Serious Threats Such As An Increase In Frequency Of Extreme Weather Events, Sea Levels Rising, Ecosystems Disruption, With High Consequences For Our Lives And Livelihood Such As Famine, Mass Migration And War. The Food And Agriculture System Is Responsible For A Third Of The Global Anthropogenic Emissions, And The Main Driver For N2o And Ch4 Emissions, With 82\% And 44\% Respectively. Agriculture-induced Emissions Mostly Involve Soil Cultivation (e.g., Tillage), Soil Decomposition, Input-uses (e.g., Fossil Fuels, Pesticides, Fertilizer), And Machinery Use.                                "
Glufosinate-ammonium,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Glufosinate-ammonium [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Glyphosate,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Glyphosate [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Haloxyfop,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Haloxyfop [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Hexachlorobenzene,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Hexachlorobenzene [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Hexaconazole,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Hexaconazole [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Human carcinogenic toxicity,"kg 1,4-dcb","A compensation cost which expresses the Value of Statistical Life (VSL) based on a meta-analysis of the Value of Statistical Life (VSL) from 92 willingness-to-pay studies, carried out by the OECD (Biausque, 2012). This global value is applicable to all countries. (True Price 2023)","Human Carcinogenic Toxicity [kg 1,4-dcb-eq] Measured In Kg 1,4-dichlorobenzene Equivalents (1,4-dcb-eq), Assesses The Potential Harmful Carcinogenic Effects Of Chemical Exposures On Human Health.                                                                                                                                "
Human non-carcinogenic toxicity,"kg 1,4-dcb","A compensation cost which expresses the Value of Statistical Life (VSL) based on a meta-analysis of the Value of Statistical Life (VSL) from 92 willingness-to-pay studies, carried out by the OECD (Biausque, 2012). This global value is applicable to all countries. (True Price 2023)","Human Non-carcinogenic Toxicity [kg 1,4-dcb-eq] Measured In Kg 1,4-dichlorobenzene Equivalents (1,4-dcb-eq), Assesses The Potential Harmful Non-carcinogenic Effects Of Chemical Exposures On Human Health.                                                                                                                                "
Human toxicity,"kg 1,4-DCB","A compensation cost which expresses the Value of Statistical Life (VSL) based on a meta-analysis of the Value of Statistical Life (VSL) from 92 willingness-to-pay studies, carried out by the OECD (Biausque, 2012). This global value is applicable to all countries. (True Price 2023)","Assesses The Potential Harm Of Toxic Substances To Human Health, Measured In Kg Of 1,4-dichlorobenzene Equivalents.                                                                                                                                       "
Human toxicity - htpinf,"kg 1,4-dcb-eq","A compensation cost which expresses the Value of Statistical Life (VSL) based on a meta-analysis of the Value of Statistical Life (VSL) from 92 willingness-to-pay studies, carried out by the OECD (Biausque, 2012). This global value is applicable to all countries. (True Price 2023)","Human Toxicity [kg 1,4-dcb-eq] Measured In Kg 1,4-dichlorobenzene Equivalents (1,4-dcb-eq), Assesses The Potential Harmful Carcinogenic And Non-carcinogenic Effects Of Chemical Exposures On Human Health.                                                                                                                               "
Hydrogen phosphide,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Hydrogen Phosphide [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                           "
Imazapic,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Imazapic [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Imazaquin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Imazaquin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Imazosulfuron,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Imazosulfuron [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Imidacloprid,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Imidacloprid [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Informal employment rate of agricultural workers & uncovered by social protection floors/systems,FTE/kg,"A combination of prevention, and retribution costs.  The prevention cost expresses the cost of generic auditing setup, to prevent future instances. The retribution cost represents a penalty for the workers without social security.","Captures The Proportion Of Farm Workers Without Formal Contracts, Social Security, Or Labor Protections, Assessing Labor Market Vulnerabilities.                                                                                                                                     "
Insured non-fatal occupational incidents,incidents/kg,"A combination of compensation, prevention, and retribution costs. The compensation cost represents the average cost of medical expenses for occupational injuries not covered by the employer estimated from Dutch data and adapted to other countries using value transfer (RIVM, 2022; Stam, C. & Blatter, B., 2020; WHO, 2021), the value of health (DALY) loss in the case of non-fatal incidents and the VSL in the cause of fatal incidents as a compensation to the family of the victim (Biausque, 2012). The prevention cost expresses the cost of generic auditing setup, to prevent future instances. The retribution costs represent a penalty for the cases in which workers perform their duties in conditions which violate Health and Safety regulations, which is based on the weighted average of penalties from various countries that expresses a global penalty. (True Price 2023)","Insured Non-fatal Occupational Incidents, Expressed As Incidents Per Kilogram (incidents/kg), Quantify The Frequency Of Workplace Accidents That Result In Injuries But Are Covered By Insurance, Relative To The Amount Of Product Produced. It Provides Insights Into The Safety And Health Conditions Of A Workplace.                                                                                                           "
Ionising radiation,kg U235-Eq,No factor available,"Evaluates Exposure To Radioactive Emissions And Their Potential Health Risks, Expressed In Kg Of Uranium-235 Equivalents.                                                                                                                                       "
Ionising radiation - irp_he,kg u235-eq,No factor available,"Ionizing Radiation [kbq U235-eq] Measures The Potential Harm Caused By Ionizing Radiation To Humans And The Environment. Ionizing Radiation Is Energy Released By Radioactive Materials That Can Cause Damage To Living Cells, Leading To Health Issues Such As Cancer. This Radiation Is Primarily Emitted During Nuclear Energy Production, Medical Procedures, And Certain Industrial Processes.                                                                                                 "
Ionizing radiation,kbq co-60 eq,No factor available,"Ionizing Radiation [kbq Co-60 Eq] Measures The Potential Harm Caused By Ionizing Radiation To Humans And The Environment. Ionizing Radiation Is Energy Released By Radioactive Materials That Can Cause Damage To Living Cells, Leading To Health Issues Such As Cancer. This Radiation Is Primarily Emitted During Nuclear Energy Production, Medical Procedures, And Certain Industrial Processes.                                                                                                "
Ipconazole,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Ipconazole [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Iprovalicarb,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Iprovalicarb [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Isoxaben,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Isoxaben [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Isoxaflutole,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Isoxaflutole [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Labour force to be audited for forced labour,FTE/kg,Prevention covers the cost of auditing to prevent future violations,"Represents The Proportion Of Workers Requiring Scrutiny For Coercion, Deception, Or Threats In Their Employment, Helping To Prevent Exploitation.                                                                                                                                    "
Labour force to be audited for gender discrimination,FTE/kg,Prevention covers the cost of auditing to prevent future violations,"Reflects The Proportion Of Employees Requiring Review For Pay Disparities, Opportunities, And Treatment Based On Gender, Informing Workplace Equity Policies.                                                                                                                                   "
Labour force to be audited for health and safety,FTE/kg,Prevention covers the cost of auditing to prevent future violations,Measures The Percentage Of Workers Whose Conditions Must Be Examined For Compliance With Workplace Safety Standards.                                                                                                                                       
Labour force to be audited for illegal overtime,FTE/kg,Prevention covers the cost of auditing to prevent future violations,Indicates The Proportion Of Employees Potentially Subjected To Excessive Working Hours Beyond Legal Limits.                                                                                                                                         
Labour force to be audited for insufficient social security,FTE/kg,Prevention covers the cost of auditing to prevent future violations,Reflects The Proportion Of Employees Requiring Review For Lack Of Social Security.                                                                                                                                           
Land use,m2a crop eq,"A compensation cost which expresses the opportunity cost of land occupation based on the value of ecosystem services for main biomes based on a meta-analysis from TEEB (de Groot et al., 2012). Country specific factors can be derived based on biome cover per country. (True Price 2023)","Land Use [m2a Crop Eq] Assesses The Environmental Consequences Of Land Occupation And Transformation Due To Agricultural Or Industrial Activities. Land Use Is A Critical Factor Because It Affects Biodiversity, Soil Health, Water Cycles, And Ecosystem Services.                                                                                                                  "
Linuron,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Linuron [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Maleic hydrazide,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Maleic Hydrazide [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                           "
Mandipropamid,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Mandipropamid [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Marine ecotoxicity,"kg 1,4-dcb","A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost. The endpoint valuation of ecosystem damage represents the annual value of ecosystem services (ESS) of one hectare of nature, based on the median annual value per hectare of ecosystem services of six terrestrial biomes. These values are based on a published meta-analysis of the TEEB database (de Groot et al., 2012). Recipe 2016 midpoint to endpoint conversion factors for terrestrial, marine and freshwater ecotoxicity are utilised to derive the monetisation factors (Huijbregts et al., 2016). A global value for endpoint valuation is used rather than location specific values, due to the high uncertainty and the fact that the quantification of ecosystems damage from Recipe is not location specific (e.g., it is not specified where the damage occurs, only the size of the damage). (True Price 2023)","Marine Ecotoxicity [kg 1,4-dcb] Refers To The Potential Of Biological, Chemical Or Physical Stressors To Affect Marine Ecosystems. The Contamination Of Ecosystems By Toxic Chemicals From Human Activities Has Become A Global Problem, With Millions Of Tonnes Of Potentially Toxic Chemicals Entering The Environment Every Year. Many Of These Chemicals Produce Toxic Metabolites That Have Harmful Effects On Living Organisms And Are Liable To Bioaccumulate And Biomagnify. Pesticide Inputs To Soils And Adjacent Water Bodies Are The Result Of Agricultural Activities.                                                                      "
Marine ecotoxicity - metpinf,"kg 1,4-dcb-eq","A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost. The endpoint valuation of ecosystem damage represents the annual value of ecosystem services (ESS) of one hectare of nature, based on the median annual value per hectare of ecosystem services of six terrestrial biomes. These values are based on a published meta-analysis of the TEEB database (de Groot et al., 2012). Recipe 2016 midpoint to endpoint conversion factors for terrestrial, marine and freshwater ecotoxicity are utilised to derive the monetisation factors (Huijbregts et al., 2016). A global value for endpoint valuation is used rather than location specific values, due to the high uncertainty and the fact that the quantification of ecosystems damage from Recipe is not location specific (e.g., it is not specified where the damage occurs, only the size of the damage). (True Price 2023)","Marine Ecotoxicity [kg 1,4-dcb] Refers To The Potential Of Biological, Chemical Or Physical Stressors To Affect Marine Ecosystems. The Contamination Of Ecosystems By Toxic Chemicals From Human Activities Has Become A Global Problem, With Millions Of Tonnes Of Potentially Toxic Chemicals Entering The Environment Every Year. Many Of These Chemicals Produce Toxic Metabolites That Have Harmful Effects On Living Organisms And Are Liable To Bioaccumulate And Biomagnify. Pesticide Inputs To Soils And Adjacent Water Bodies Are The Result Of Agricultural Activities.                                                                      "
Marine eutrophication,kg n eq,"A combination of restoration and compensation costs based on a literature review on the costs of eutrophication. Restoration costs express average abatement cost for bringing nutrient levels to a regulatory target, for the impacts that are reversible. Compensation costs express other damage (economic damage, damage to human health and biodiversity loss), for residual impacts after restoration has taken place. (True Price 2023)","Marine Eutropication [kg N Eq] Can Be Defined As The Enrichment Of Inland And Coastal Waters With Anthropogenically-driven Inputs Of Nitrogen. Changes In Nutrients Lead To The Proliferation Of Algae And Aquatic Weeds, Which Affect Fish Populations And Ultimately Leading To A Relative Loss Of Species. Nitrogen And Phosphorus Loads From Agriculture Are One Of The Main Factors In Eutrophication. Different Ecosystem Components Are Involved - Freshwater, Marine And Terrestrial - With The Freshwater Zone Being The Most Vulnerable Due To Intensive Exploitation.                                                                    "
Marine eutrophication - mep,kg n-eq,"A combination of restoration and compensation costs based on a literature review on the costs of eutrophication. Restoration costs express average abatement cost for bringing nutrient levels to a regulatory target, for the impacts that are reversible. Compensation costs express other damage (economic damage, damage to human health and biodiversity loss), for residual impacts after restoration has taken place. (True Price 2023)","Marine Eutropication [kg N Eq] Can Be Defined As The Enrichment Of Inland And Coastal Waters With Anthropogenically-driven Inputs Of Nitrogen. Changes In Nutrients Lead To The Proliferation Of Algae And Aquatic Weeds, Which Affect Fish Populations And Ultimately Leading To A Relative Loss Of Species. Nitrogen And Phosphorus Loads From Agriculture Are One Of The Main Factors In Eutrophication. Different Ecosystem Components Are Involved - Freshwater, Marine And Terrestrial - With The Freshwater Zone Being The Most Vulnerable Due To Intensive Exploitation.                                                                    "
Mecarbam,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Mecarbam [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Mefentrifluconazole,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Mefentrifluconazole [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Mepanipyrim,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Mepanipyrim [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Mepronil,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Mepronil [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Mesotrione,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Mesotrione [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Metaflumizone,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Metaflumizone [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Metal depletion,kg Fe eq,"A compensation cost which expresses the future loss of economic welfare due to increased extraction costs of non-renewable materials in the future (Huijbregts et al., 2016). (True Price 2023)","Quantifies The Depletion Of Metal Resources Based On Iron-equivalent Mass, Indicating Resource Scarcity And Extraction Impact.                                                                                                                                       "
Metal depletion - mdp,kg fe-eq,"A compensation cost which expresses the future loss of economic welfare due to increased extraction costs of non-renewable materials in the future (Huijbregts et al., 2016). (True Price 2023)","Metal Depletion [kg Fe-eq] Measures The Depletion Of Metal Resources, Expressed In Kilograms Of Iron Equivalent (kg Fe-eq), Indicating How Much Iron Would Be Needed To Represent The Resource Depletion. This Category Is Critical For Assessing The Environmental Impact Of Extracting Non-renewable Metal Ores Used In Industries Like Construction, Electronics, And Manufacturing. Metal Depletion Is Important To Consider Because The Extraction And Processing Of Metals Often Lead To Significant Environmental Degradation, Including Energy Use, Greenhouse Gas Emissions, And Habitat Disruption.                                                                       "
Metalaxyl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Metalaxyl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Metconazole,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Metconazole [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Methidathion,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Methidathion [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Methomyl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Methomyl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Methoprene,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Methoprene [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Methoxychlor,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Methoxychlor [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Methoxyfenozide,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Methoxyfenozide [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Methyl bromide,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Methyl Bromide [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                           "
Metolachlor,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Metolachlor [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Metribuzin,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Metribuzin [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Metsulfuron-methyl,mg/kg,Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook),"Metsulfuron-methyl [mg/kg] Is A Pesticide Used During Cultivation, For Which Residues Can Be Left On The Product And Therefore Ingested By The Consumer, Causing Negative Health Externalities.                                                                                                                            "
Mineral resource scarcity,kg cu eq,"A compensation cost which expresses the future loss of economic welfare due to increased extraction costs of non-renewable materials in the future (Huijbregts et al., 2016). (True Price 2023)","Mineral Resource Scarcity [kg Cu Eq] Measures The Depletion Of Mineral Resources, Using Copper As The Reference Metal (kg Cu Equivalent). It Quantifies The Environmental Impact Of Extracting Non-renewable Mineral Resources Like Copper, Zinc, And Other Metals, Which Are Critical For Various Industries, Including Electronics, Construction, And Renewable Energy. This Category Is Vital Because Mineral Extraction Often Leads To Significant Environmental Harm, Such As Habitat Destruction, Water Pollution, And Energy-intensive Mining Processes.                                                                               "
