"Indicator";"Unit";"Monetisation method";"Indicator definition"
"Fomesafen";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Fomesafen [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Forced workers (medium severe)";"fte/kg";"A combination of restoration, compensation, prevention and retribution costs. The restoration cost expresses the restitution of past economic losses of forced workers in debt bondage, as well as other costs for reintegration (ILO, 2009; Kara, 2012). The compensation cost expresses the cost of lost health valued using DALY for forced workers victims of abuse (Biausque, 2012). The prevention cost expresses the cost of generic auditing setup, to prevent future instances. Finally, the retribution cost represents a penalty for instances of forced labour based on the weighted average of penalties from various countries that expresses a global penalty. Restoration, retribution, and compensation costs for harassment may also be included, if abuse exists in the specific case. (True Price 2023)";"Forced workers (medium severe), measured in full-time equivalents per kilogram (FTE/kg), refers to the proportion of individuals subjected to forced labor conditions\97specifically those facing medium severity in terms of exploitation\97relative to the quantity of product produced. This metric is crucial for evaluating the prevalence of forced labor in supply chains, particularly in industries like agriculture, manufacturing, and mining.                                                                                             "
"Forchlorfenuron";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Forchlorfenuron [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Formothion";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Formothion [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Fossil depletion - fdp";"kg oil-eq";"A compensation cost which expresses the future loss of economic welfare due to increased extraction costs of fossil fuels in the future (Huijbregts et al., 2016). (True Price 2023)";"Fossil depletion [kg oil-Eq] measures the depletion of non-renewable fossil fuel resources, such as oil, coal, and natural gas, used throughout a product\92s life cycle. This category is expressed in kilograms of oil equivalent (kg oil-Eq), representing the energy content of the depleted resources. Fossil depletion is important to consider in environmental assessments because the over-extraction of these finite resources contributes to long-term sustainability issues.                                                                                      "
"Fossil resource scarcity";"kg oil eq";"A compensation cost which expresses the future loss of economic welfare due to increased extraction costs of fossil fuels in the future (Huijbregts et al., 2016). (True Price 2023)";"Fossil resource scarcity [kg oil-Eq] measures the depletion of non-renewable fossil fuel resources, such as oil, coal, and natural gas, used throughout a product\92s life cycle. This category is expressed in kilograms of oil equivalent (kg oil-Eq), representing the energy content of the depleted resources. Fossil depletion is important to consider in environmental assessments because the over-extraction of these finite resources contributes to long-term sustainability issues.                                                                                     "
"Freshwater ecotoxicity";"kg 1,4-dcb";"A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost. The endpoint valuation of ecosystem damage represents the annual value of ecosystem services (ESS) of one hectare of nature, based on the median annual value per hectare of ecosystem services of six terrestrial biomes. These values are based on a published meta-analysis of the TEEB database (de Groot et al., 2012). Recipe 2016 midpoint to endpoint conversion factors for terrestrial, marine and freshwater ecotoxicity are utilised to derive the monetisation factors (Huijbregts et al., 2016). A global value for endpoint valuation is used rather than location specific values, due to the high uncertainty and the fact that the quantification of ecosystems damage from Recipe is not location specific (e.g., it is not specified where the damage occurs, only the size of the damage). (True Price 2023)";"Freshwater ecotoxicity [kg 1,4-DCB] refers to the potential of biological, chemical or physical stressors to affect freshwater ecosystems. The contamination of ecosystems by toxic chemicals from human activities has become a global problem, with millions of tonnes of potentially toxic chemicals entering the environment every year. Many of these chemicals produce toxic metabolites that have harmful effects on living organisms and are liable to bioaccumulate and biomagnify. Pesticide inputs to soils and adjacent water bodies are the result of agricultural activities.                                                                      "
"Freshwater ecotoxicity - fetpinf";"kg 1,4-dcb-eq";"A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost. The endpoint valuation of ecosystem damage represents the annual value of ecosystem services (ESS) of one hectare of nature, based on the median annual value per hectare of ecosystem services of six terrestrial biomes. These values are based on a published meta-analysis of the TEEB database (de Groot et al., 2012). Recipe 2016 midpoint to endpoint conversion factors for terrestrial, marine and freshwater ecotoxicity are utilised to derive the monetisation factors (Huijbregts et al., 2016). A global value for endpoint valuation is used rather than location specific values, due to the high uncertainty and the fact that the quantification of ecosystems damage from Recipe is not location specific (e.g., it is not specified where the damage occurs, only the size of the damage). (True Price 2023)";"Freshwater ecotoxicity [kg 1,4-DCB] refers to the potential of biological, chemical or physical stressors to affect freshwater ecosystems. The contamination of ecosystems by toxic chemicals from human activities has become a global problem, with millions of tonnes of potentially toxic chemicals entering the environment every year. Many of these chemicals produce toxic metabolites that have harmful effects on living organisms and are liable to bioaccumulate and biomagnify. Pesticide inputs to soils and adjacent water bodies are the result of agricultural activities.                                                                      "
"Freshwater eutrophication";"kg p eq";"A combination of restoration and compensation costs based on a literature review on the costs of eutrophication. Restoration costs express average abatement cost for bringing nutrient levels to a regulatory target, for the impacts that are reversible. Compensation costs express other damage (economic damage, damage to human health and biodiversity loss), for residual impacts after restoration has taken place. Country specific factors can be derived based on water basin-level risk of eutrophication.";"Freshwater eutropication [kg P eq] can be defined as the enrichment of inland and coastal waters with anthropogenically-driven inputs of phosphorus. Changes in nutrients lead to the proliferation of algae and aquatic weeds, which affect fish populations and ultimately leading to a relative loss of species. Nitrogen and phosphorus loads from agriculture are one of the main factors in eutrophication. Different ecosystem components are involved - freshwater, marine and terrestrial - with the freshwater zone being the most vulnerable due to intensive exploitation.                                                                    "
"Freshwater eutrophication - fep";"kg p-eq";"A combination of restoration and compensation costs based on a literature review on the costs of eutrophication. Restoration costs express average abatement cost for bringing nutrient levels to a regulatory target, for the impacts that are reversible. Compensation costs express other damage (economic damage, damage to human health and biodiversity loss), for residual impacts after restoration has taken place. Country specific factors can be derived based on water basin-level risk of eutrophication.";"Freshwater eutropication [kg P eq] can be defined as the enrichment of inland and coastal waters with anthropogenically-driven inputs of phosphorus. Changes in nutrients lead to the proliferation of algae and aquatic weeds, which affect fish populations and ultimately leading to a relative loss of species. Nitrogen and phosphorus loads from agriculture are one of the main factors in eutrophication. Different ecosystem components are involved - freshwater, marine and terrestrial - with the freshwater zone being the most vulnerable due to intensive exploitation.                                                                    "
"Global warming";"kg co2 eq";"A restoration cost which expresses the abatement cost for achieving the policy targets of reducing greenhouse gas emissions to meet the 2-degree target as set in the Paris Agreement, based on a meta-study of 62 marginal abatement cost estimates (Kuik et al., 2009). (True Price 2023)";"Global warming [kg CO2 eq] is defined as the long-term warming of the planet\92s overall temperature. Human-induced global warming is driven by high emitting activities such as fossil fuels burning, livestock raising, and land-use change. This results in very serious threats such as an increase in frequency of extreme weather events, sea levels rising, ecosystems disruption, with high consequences for our lives and livelihood such as famine, mass migration and war. The food and agriculture system is responsible for a third of the global anthropogenic emissions, and the main driver for N2O and CH4 emissions, with 82\% and 44\% respectively. Agriculture-induced emissions mostly involve soil cultivation (e.g., tillage), soil decomposition, input-uses (e.g., fossil fuels, pesticides, fertilizer), and machinery use.                                "
"Glufosinate-ammonium";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Glufosinate-ammonium [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Glyphosate";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Glyphosate [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Haloxyfop";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Haloxyfop [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Hexachlorobenzene";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Hexachlorobenzene [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Hexaconazole";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Hexaconazole [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Human carcinogenic toxicity";"kg 1,4-dcb";"A compensation cost which expresses the Value of Statistical Life (VSL) based on a meta-analysis of the Value of Statistical Life (VSL) from 92 willingness-to-pay studies, carried out by the OECD (Biausque, 2012). This global value is applicable to all countries. (True Price 2023)";"Human carcinogenic toxicity [kg 1,4-DCB-Eq] measured in kg 1,4-dichlorobenzene equivalents (1,4-DCB-Eq), assesses the potential harmful carcinogenic effects of chemical exposures on human health.                                                                                                                                "
"Human non-carcinogenic toxicity";"kg 1,4-dcb";"A compensation cost which expresses the Value of Statistical Life (VSL) based on a meta-analysis of the Value of Statistical Life (VSL) from 92 willingness-to-pay studies, carried out by the OECD (Biausque, 2012). This global value is applicable to all countries. (True Price 2023)";"Human non-carcinogenic toxicity [kg 1,4-DCB-Eq] measured in kg 1,4-dichlorobenzene equivalents (1,4-DCB-Eq), assesses the potential harmful non-carcinogenic effects of chemical exposures on human health.                                                                                                                                "
"Human toxicity";"kg 1,4-DCB";"A compensation cost which expresses the Value of Statistical Life (VSL) based on a meta-analysis of the Value of Statistical Life (VSL) from 92 willingness-to-pay studies, carried out by the OECD (Biausque, 2012). This global value is applicable to all countries. (True Price 2023)";"Assesses the potential harm of toxic substances to human health, measured in kg of 1,4-dichlorobenzene equivalents.                                                                                                                                       "
"Human toxicity - htpinf";"kg 1,4-dcb-eq";"A compensation cost which expresses the Value of Statistical Life (VSL) based on a meta-analysis of the Value of Statistical Life (VSL) from 92 willingness-to-pay studies, carried out by the OECD (Biausque, 2012). This global value is applicable to all countries. (True Price 2023)";"Human toxicity [kg 1,4-DCB-Eq] measured in kg 1,4-dichlorobenzene equivalents (1,4-DCB-Eq), assesses the potential harmful carcinogenic and non-carcinogenic effects of chemical exposures on human health.                                                                                                                               "
"Hydrogen phosphide";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Hydrogen phosphide [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                           "
"Imazapic";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Imazapic [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Imazaquin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Imazaquin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Imazosulfuron";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Imazosulfuron [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Imidacloprid";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Imidacloprid [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Informal employment rate of agricultural workers & uncovered by social protection floors/systems";"FTE/kg";"A combination of prevention, and retribution costs.  The prevention cost expresses the cost of generic auditing setup, to prevent future instances. The retribution cost represents a penalty for the workers without social security.";"Captures the proportion of farm workers without formal contracts, social security, or labor protections, assessing labor market vulnerabilities.                                                                                                                                     "
"Insured non-fatal occupational incidents";"incidents/kg";"A combination of compensation, prevention, and retribution costs. The compensation cost represents the average cost of medical expenses for occupational injuries not covered by the employer estimated from Dutch data and adapted to other countries using value transfer (RIVM, 2022; Stam, C. & Blatter, B., 2020; WHO, 2021), the value of health (DALY) loss in the case of non-fatal incidents and the VSL in the cause of fatal incidents as a compensation to the family of the victim (Biausque, 2012). The prevention cost expresses the cost of generic auditing setup, to prevent future instances. The retribution costs represent a penalty for the cases in which workers perform their duties in conditions which violate Health and Safety regulations, which is based on the weighted average of penalties from various countries that expresses a global penalty. (True Price 2023)";"Insured non-fatal occupational incidents, expressed as incidents per kilogram (incidents/kg), quantify the frequency of workplace accidents that result in injuries but are covered by insurance, relative to the amount of product produced. It provides insights into the safety and health conditions of a workplace.                                                                                                           "
"Ionising radiation";"kg U235-Eq";"No factor available";"Evaluates exposure to radioactive emissions and their potential health risks, expressed in kg of uranium-235 equivalents.                                                                                                                                       "
"Ionising radiation - irp_he";"kg u235-eq";"No factor available";"Ionizing radiation [kBq U235-eq] measures the potential harm caused by ionizing radiation to humans and the environment. Ionizing radiation is energy released by radioactive materials that can cause damage to living cells, leading to health issues such as cancer. This radiation is primarily emitted during nuclear energy production, medical procedures, and certain industrial processes.                                                                                                 "
"Ionizing radiation";"kbq co-60 eq";"No factor available";"Ionizing radiation [kBq Co-60 eq] measures the potential harm caused by ionizing radiation to humans and the environment. Ionizing radiation is energy released by radioactive materials that can cause damage to living cells, leading to health issues such as cancer. This radiation is primarily emitted during nuclear energy production, medical procedures, and certain industrial processes.                                                                                                "
"Ipconazole";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Ipconazole [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Iprovalicarb";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Iprovalicarb [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Isoxaben";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Isoxaben [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Isoxaflutole";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Isoxaflutole [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Labour force to be audited for forced labour";"FTE/kg";"Prevention covers the cost of auditing to prevent future violations";"Represents the proportion of workers requiring scrutiny for coercion, deception, or threats in their employment, helping to prevent exploitation.                                                                                                                                    "
"Labour force to be audited for gender discrimination";"FTE/kg";"Prevention covers the cost of auditing to prevent future violations";"Reflects the proportion of employees requiring review for pay disparities, opportunities, and treatment based on gender, informing workplace equity policies.                                                                                                                                   "
"Labour force to be audited for health and safety";"FTE/kg";"Prevention covers the cost of auditing to prevent future violations";"Measures the percentage of workers whose conditions must be examined for compliance with workplace safety standards.                                                                                                                                       "
"Labour force to be audited for illegal overtime";"FTE/kg";"Prevention covers the cost of auditing to prevent future violations";"Indicates the proportion of employees potentially subjected to excessive working hours beyond legal limits.                                                                                                                                         "
"Labour force to be audited for insufficient social security";"FTE/kg";"Prevention covers the cost of auditing to prevent future violations";"Reflects the proportion of employees requiring review for lack of social security.                                                                                                                                           "
"Land use";"m2a crop eq";"A compensation cost which expresses the opportunity cost of land occupation based on the value of ecosystem services for main biomes based on a meta-analysis from TEEB (de Groot et al., 2012). Country specific factors can be derived based on biome cover per country. (True Price 2023)";"Land use [m2a crop eq] assesses the environmental consequences of land occupation and transformation due to agricultural or industrial activities. Land use is a critical factor because it affects biodiversity, soil health, water cycles, and ecosystem services.                                                                                                                  "
"Linuron";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Linuron [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Maleic hydrazide";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Maleic hydrazide [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                           "
"Mandipropamid";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Mandipropamid [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Marine ecotoxicity";"kg 1,4-dcb";"A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost. The endpoint valuation of ecosystem damage represents the annual value of ecosystem services (ESS) of one hectare of nature, based on the median annual value per hectare of ecosystem services of six terrestrial biomes. These values are based on a published meta-analysis of the TEEB database (de Groot et al., 2012). Recipe 2016 midpoint to endpoint conversion factors for terrestrial, marine and freshwater ecotoxicity are utilised to derive the monetisation factors (Huijbregts et al., 2016). A global value for endpoint valuation is used rather than location specific values, due to the high uncertainty and the fact that the quantification of ecosystems damage from Recipe is not location specific (e.g., it is not specified where the damage occurs, only the size of the damage). (True Price 2023)";"Marine ecotoxicity [kg 1,4-DCB] refers to the potential of biological, chemical or physical stressors to affect marine ecosystems. The contamination of ecosystems by toxic chemicals from human activities has become a global problem, with millions of tonnes of potentially toxic chemicals entering the environment every year. Many of these chemicals produce toxic metabolites that have harmful effects on living organisms and are liable to bioaccumulate and biomagnify. Pesticide inputs to soils and adjacent water bodies are the result of agricultural activities.                                                                      "
"Marine ecotoxicity - metpinf";"kg 1,4-dcb-eq";"A compensation cost which expresses the social cost of pollution and indicates the occurring loss of economic welfare when pollutants are emitted to the environment, looking at ecosystems damage. Ecosystems damage is valued looking at the value of ecosystems services lost. The endpoint valuation of ecosystem damage represents the annual value of ecosystem services (ESS) of one hectare of nature, based on the median annual value per hectare of ecosystem services of six terrestrial biomes. These values are based on a published meta-analysis of the TEEB database (de Groot et al., 2012). Recipe 2016 midpoint to endpoint conversion factors for terrestrial, marine and freshwater ecotoxicity are utilised to derive the monetisation factors (Huijbregts et al., 2016). A global value for endpoint valuation is used rather than location specific values, due to the high uncertainty and the fact that the quantification of ecosystems damage from Recipe is not location specific (e.g., it is not specified where the damage occurs, only the size of the damage). (True Price 2023)";"Marine ecotoxicity [kg 1,4-DCB] refers to the potential of biological, chemical or physical stressors to affect marine ecosystems. The contamination of ecosystems by toxic chemicals from human activities has become a global problem, with millions of tonnes of potentially toxic chemicals entering the environment every year. Many of these chemicals produce toxic metabolites that have harmful effects on living organisms and are liable to bioaccumulate and biomagnify. Pesticide inputs to soils and adjacent water bodies are the result of agricultural activities.                                                                      "
"Marine eutrophication";"kg n eq";"A combination of restoration and compensation costs based on a literature review on the costs of eutrophication. Restoration costs express average abatement cost for bringing nutrient levels to a regulatory target, for the impacts that are reversible. Compensation costs express other damage (economic damage, damage to human health and biodiversity loss), for residual impacts after restoration has taken place. (True Price 2023)";"Marine eutropication [kg N eq] can be defined as the enrichment of inland and coastal waters with anthropogenically-driven inputs of nitrogen. Changes in nutrients lead to the proliferation of algae and aquatic weeds, which affect fish populations and ultimately leading to a relative loss of species. Nitrogen and phosphorus loads from agriculture are one of the main factors in eutrophication. Different ecosystem components are involved - freshwater, marine and terrestrial - with the freshwater zone being the most vulnerable due to intensive exploitation.                                                                    "
"Marine eutrophication - mep";"kg n-eq";"A combination of restoration and compensation costs based on a literature review on the costs of eutrophication. Restoration costs express average abatement cost for bringing nutrient levels to a regulatory target, for the impacts that are reversible. Compensation costs express other damage (economic damage, damage to human health and biodiversity loss), for residual impacts after restoration has taken place. (True Price 2023)";"Marine eutropication [kg N eq] can be defined as the enrichment of inland and coastal waters with anthropogenically-driven inputs of nitrogen. Changes in nutrients lead to the proliferation of algae and aquatic weeds, which affect fish populations and ultimately leading to a relative loss of species. Nitrogen and phosphorus loads from agriculture are one of the main factors in eutrophication. Different ecosystem components are involved - freshwater, marine and terrestrial - with the freshwater zone being the most vulnerable due to intensive exploitation.                                                                    "
"Mecarbam";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Mecarbam [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Mefentrifluconazole";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Mefentrifluconazole [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Mepanipyrim";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Mepanipyrim [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Mepronil";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Mepronil [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Mesotrione";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Mesotrione [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Metaflumizone";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Metaflumizone [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Metal depletion";"kg Fe eq";"A compensation cost which expresses the future loss of economic welfare due to increased extraction costs of non-renewable materials in the future (Huijbregts et al., 2016). (True Price 2023)";"Quantifies the depletion of metal resources based on iron-equivalent mass, indicating resource scarcity and extraction impact.                                                                                                                                       "
"Metal depletion - mdp";"kg fe-eq";"A compensation cost which expresses the future loss of economic welfare due to increased extraction costs of non-renewable materials in the future (Huijbregts et al., 2016). (True Price 2023)";"Metal depletion [kg Fe-Eq] measures the depletion of metal resources, expressed in kilograms of iron equivalent (kg Fe-Eq), indicating how much iron would be needed to represent the resource depletion. This category is critical for assessing the environmental impact of extracting non-renewable metal ores used in industries like construction, electronics, and manufacturing. Metal depletion is important to consider because the extraction and processing of metals often lead to significant environmental degradation, including energy use, greenhouse gas emissions, and habitat disruption.                                                                       "
"Metalaxyl";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Metalaxyl [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Metconazole";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Metconazole [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Methidathion";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Methidathion [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Methomyl";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Methomyl [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Methoprene";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Methoprene [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Methoxychlor";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Methoxychlor [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Methoxyfenozide";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Methoxyfenozide [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Methyl bromide";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Methyl bromide [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                           "
"Metolachlor";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Metolachlor [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Metribuzin";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Metribuzin [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Metsulfuron-methyl";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Metsulfuron-methyl [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Mineral resource scarcity";"kg cu eq";"A compensation cost which expresses the future loss of economic welfare due to increased extraction costs of non-renewable materials in the future (Huijbregts et al., 2016). (True Price 2023)";"Mineral resource scarcity [kg Cu eq] measures the depletion of mineral resources, using copper as the reference metal (kg Cu equivalent). It quantifies the environmental impact of extracting non-renewable mineral resources like copper, zinc, and other metals, which are critical for various industries, including electronics, construction, and renewable energy. This category is vital because mineral extraction often leads to significant environmental harm, such as habitat destruction, water pollution, and energy-intensive mining processes.                                                                               "
"Molinate";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Molinate [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Monuron";"mg/kg";"Prevention costs : the cost of treating a kidney patient for ine year (True Cost Accounting Agrifood Handbook)";"Monuron [mg/kg] is a pesticide used during cultivation, for which residues can be left on the product and therefore ingested by the consumer, causing negative health externalities.                                                                                                                            "
"Natural land transformation";"m\B2";"A restoration cost which expresses the average cost of ecosystem restoration projects in different biomes based on a review of case studies (TEEB, 2009). Costs include capital investment and maintenance of the restoration project";"Measures the conversion of natural land (e.g., forests, wetlands) into human-dominated landscapes, affecting ecosystems and biodiversity.                                                                                                                                       "
"Natural land transformation - nltp";"m2";"A restoration cost which expresses the average cost of ecosystem restoration projects in different biomes based on a review of case studies (TEEB, 2009). Costs include capital investment and maintenance of the restoration project";"                                                                                                                                                      "
